GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
9rules,com.github.ninerules.rules.onedot,MatchingCounter,0,23,0,2,0,7,0,4,0,3
9rules,com.github.ninerules.rules.onedot,StringFilter,0,21,0,0,0,6,0,2,0,2
9rules,com.github.ninerules.rules.onedot,StringFilterManager,0,52,0,0,0,13,0,7,0,7
9rules,com.github.ninerules.rules.onedot,OneDotPerLineValidator,0,71,0,2,0,15,0,8,0,7
9rules,com.github.ninerules.rules.onedot,PropertyReader,30,87,6,2,0,18,4,9,0,9
9rules,com.github.ninerules.rules.firstclasscollection,FirstClassCollectionValidator,0,82,1,7,0,16,1,11,0,8
9rules,com.github.ninerules.rules.jdtvisitor,TypeChecker,0,41,0,0,0,11,0,4,0,4
9rules,com.github.ninerules.rules.jdtvisitor,FieldCollectingValidator,0,53,0,0,0,13,0,7,0,7
9rules,com.github.ninerules.rules.jdtvisitor,JdtValidator,0,42,1,1,0,13,1,6,0,6
9rules,com.github.ninerules.rules.jdtvisitor,LevelSwitchableValidator,0,18,0,0,0,6,0,4,0,4
9rules,com.github.ninerules.rules.jdtvisitor,ASTVisitorPlus,0,63,0,0,0,14,0,6,0,6
9rules,com.github.ninerules.rules.jdtvisitor,FieldChecker,0,78,1,11,0,14,1,13,0,8
9rules,com.github.ninerules.rules.results,ResultsAppender,0,61,0,0,0,17,0,6,0,6
9rules,com.github.ninerules.rules.results,Results,7,73,0,0,1,19,1,8,1,8
9rules,com.github.ninerules.rules.results,ResultComparator,0,15,0,0,0,4,0,2,0,2
9rules,com.github.ninerules,NineRulesValidator,0,80,0,0,0,16,0,8,0,8
9rules,com.github.ninerules,Reporter,0,39,0,0,0,12,0,5,0,5
9rules,com.github.ninerules,Main,0,76,0,2,0,19,0,9,0,8
9rules,com.github.ninerules,Target,0,46,0,2,0,11,0,5,0,4
9rules,com.github.ninerules,SourceParser,0,29,0,0,0,8,0,5,0,5
9rules,com.github.ninerules,StrictLevel,0,48,0,0,0,2,0,4,0,4
9rules,com.github.ninerules.entities,FileName,0,46,0,4,0,13,0,9,0,7
9rules,com.github.ninerules.entities,Message,4,34,0,4,1,9,1,7,1,5
9rules,com.github.ninerules.entities,LineCountsBuilder,0,78,0,0,0,18,0,10,0,10
9rules,com.github.ninerules.entities,LineCount,0,84,0,10,0,16,0,14,0,9
9rules,com.github.ninerules.entities,LineCounts,0,66,0,4,0,17,0,9,0,7
9rules,com.github.ninerules.rules.smallobject,SourceLengthValidator,0,46,0,2,0,11,0,7,0,6
